"text","SVM_LABEL","SVM_PROB","original_text","lon","lat","state"
"rt unit servic may suck still beat today tco ucmwljofth","1",0.757577024051642,"RT @KeriHenare: @shawn_hamman @united Your United service may suck, but @benkepes still has you beat today. https://t.co/UCMWljoftH",NA,NA,NA
"selfi pleas","2",0.693436524691172,"@hmeisler @united Selfie please",-74.0059413,40.7127837,"new york"
"aim cost u much new custom expos ur thiev scheme basic economi social media twitterjustic","1",0.684951801274392,".@United My aim is to cost u as much $ in new customers by exposing ur thieving scheme of Basic Economy on social media. #TwitterJustice",-73.9441579,40.6781784,"new york"
"want get fuck airlin tri new dog class aka basic economi","1",0.813629330108827,"If you want to get fucked over by an airline, try @united new Dog Class, aka, Basic Economy",-73.9441579,40.6781784,"new york"
"may greedi bastard came w basic economi aka dog class suffer everi miseri foist upon passeng","1",0.780113254261741,".@united May the greedy bastard who came up w/ Basic Economy, aka Dog Class, suffer every misery they have foisted upon their passengers.",-73.9441579,40.6781784,"new york"
"e tco hhfkbnvd","2",0.569136070436546,"@JustSher1 @goblin_elle @gooberspa @EricFish1111 @sunjayraji @nancylasocki @JDummy2 @SmokeyMartling @SamariaSam7<U+2026> https://t.co/hH0FKBnvD8",-74.1598725,40.8223168,"new jersey"
"point airlin remov top mgmt order restor investor consum trust tco hlzakqicb","2",0.827247367227261,"At what point does @United Airlines remove top mgmt in order to restore investor and consumer trust? https://t.co/hlz0aKQIcB",-74.0059413,40.7127837,"new york"
"glad safe","2",0.938537295257393,"@lo_toney @united @EWRairport Glad all were safe.",-74.4056612,40.0583238,"new jersey"
"rt will reopen","2",0.60098468783015,"RT @Sulli702: @EWRairport @united When will you reopen",NA,NA,NA
"rt hey irish treat passeng edbcedbaeedbcedbaa dirtyoldtown tco xmxcejc","1",0.659745116669156,"RT @ChaosMuppets: Hey @United, here's how the Irish treat their passengers! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> #DirtyOldTown 
https://t.co/6xMx0cejC1",NA,NA,NA
"week respons feedback note custom servic import part busi edbdedb","1",0.991721467277628,"@united it's been 3 weeks and no response to my feedback. 

Note: Customer service should be the most important part of your business <ed><U+00A0><U+00BD><ed><U+00B9><U+008A>",-74.4056612,40.0583238,"new jersey"
"rt can pleas use photo platform broadcast partner credit pleas thanks","1",0.853148249719461,"RT @Rexamoto: @iantien @united Can @ABC please use your photo on our platforms, broadcasts, and partners with credit to you please? Thanks!<U+2026>",NA,NA,NA
"rt hey irish treat passeng edbcedbaeedbcedbaa dirtyoldtown tco xmxcejc","1",0.659745116669156,"RT @ChaosMuppets: Hey @United, here's how the Irish treat their passengers! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> #DirtyOldTown 
https://t.co/6xMx0cejC1",NA,NA,NA
"rt hey irish treat passeng edbcedbaeedbcedbaa dirtyoldtown tco xmxcejc","1",0.659745116669156,"RT @ChaosMuppets: Hey @United, here's how the Irish treat their passengers! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> #DirtyOldTown 
https://t.co/6xMx0cejC1",-85.7584557,38.2526647,"kentucky"
"rt hey irish treat passeng edbcedbaeedbcedbaa dirtyoldtown tco xmxcejc","1",0.659745116669156,"RT @ChaosMuppets: Hey @United, here's how the Irish treat their passengers! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> #DirtyOldTown 
https://t.co/6xMx0cejC1",-77.9447102,34.2257255,"north carolina"
"rt hey irish treat passeng edbcedbaeedbcedbaa dirtyoldtown tco xmxcejc","1",0.659745116669156,"RT @ChaosMuppets: Hey @United, here's how the Irish treat their passengers! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> #DirtyOldTown 
https://t.co/6xMx0cejC1",-75.7496572,39.6837226,"delaware"
"rt hey irish treat passeng edbcedbaeedbcedbaa dirtyoldtown tco xmxcejc","1",0.659745116669156,"RT @ChaosMuppets: Hey @United, here's how the Irish treat their passengers! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> #DirtyOldTown 
https://t.co/6xMx0cejC1",-105.7820674,39.5500507,"colorado"
"rt hey irish treat passeng edbcedbaeedbcedbaa dirtyoldtown tco xmxcejc","1",0.659745116669156,"RT @ChaosMuppets: Hey @United, here's how the Irish treat their passengers! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> #DirtyOldTown 
https://t.co/6xMx0cejC1",-105.7820674,39.5500507,"colorado"
"rt hey irish treat passeng edbcedbaeedbcedbaa dirtyoldtown tco xmxcejc","1",0.659745116669156,"RT @ChaosMuppets: Hey @United, here's how the Irish treat their passengers! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> #DirtyOldTown 
https://t.co/6xMx0cejC1",NA,NA,NA
"rt hey irish treat passeng edbcedbaeedbcedbaa dirtyoldtown tco xmxcejc","1",0.659745116669156,"RT @ChaosMuppets: Hey @United, here's how the Irish treat their passengers! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> #DirtyOldTown 
https://t.co/6xMx0cejC1",-91.8318334,35.20105,"arkansas"
"hey irish treat passeng edbcedbaeedbcedbaa dirtyoldtown tco xmxcejc","1",0.659745116669156,"Hey @United, here's how the Irish treat their passengers! <ed><U+00A0><U+00BC><ed><U+00B7><U+00AE><ed><U+00A0><U+00BC><ed><U+00B7><U+00AA> #DirtyOldTown 
https://t.co/6xMx0cejC1",-72.6850932,41.7637111,"connecticut"
"e tco eanuazmeeo","2",0.569136070436546,"@JustSher1 @goblin_elle @gooberspa @EricFish1111 @sunjayraji @nancylasocki @JDummy2 @SmokeyMartling @SamariaSam7<U+2026> https://t.co/EaNUaZMeEO",-74.1598725,40.8223168,"new jersey"
"american airlin qualiti level howev sever closer tco kmmxhnspfi","1",0.721790289664286,"@benkepes No American airline is at @FlyAirNZ quality level. However, there are several closer than @united. https://t.co/kMmXHNSPfy",-73.9441579,40.6781784,"new york"
"unit make annoy doubt ed ever fli airnz need partner level","1",0.996749731064774,"@benkepes United make my annoyed at @FlyAirNZ. I doubt I<U+2019>d ever fly @United if not for @StarAlliance. AirNZ need partners on their level.",-73.9441579,40.6781784,"new york"
"rt look emerg respond around aircraft termin c tco fyoxnblzcc","1",0.858630066982818,"RT @RayVilleda: LOOK: emergency responders around @united aircraft in Terminal C @NBCNewYork https://t.co/fyoXnbLzcC",-74.0323626,40.7439905,"new jersey"
"rt unit servic may suck still beat today tco ucmwljofth","1",0.757577024051642,"RT @KeriHenare: @shawn_hamman @united Your United service may suck, but @benkepes still has you beat today. https://t.co/UCMWljoftH",NA,NA,NA
"unit servic may suck still beat today tco ucmwljofth","1",0.757577024051642,"@shawn_hamman @united Your United service may suck, but @benkepes still has you beat today. https://t.co/UCMWljoftH",-73.9441579,40.6781784,"new york"
"dishwash chicago area contractor said make less citi min wage fedup tco zbflmmczb","1",0.778595945216341,"\"A dishwasher for a Chicago area contractor said he was making $0.25 less than the city's min wage.\" #FedUp @united https://t.co/zB0FLmmCzb",-74.0059413,40.7127837,"new york"
"may realli dumb q light travail will chose fli unit first place","2",0.910464285427449,"@benkepes @united This may be a really dumb Q in light of your travails, but why did you willingly chose to fly United in the first place?",-74.0059413,40.7127837,"new york"
"overhead bin full today flight phxewr mani empti slot joke process tco skhtukfvi","1",0.704920234769262,"\"All overhead bins are full\" on today's @united flight 1552 PHX-EWR. So many empty slots. What a joke of a process.<U+2026> https://t.co/5sKhTUkfVy",-74.4056612,40.0583238,"new jersey"
"least unit free stream movi new plane pleasant surpris","2",0.806028580013195,"@unitehere @united At least United has free streaming movies on their new planes.  Pleasant surprise",-74.5493284,40.7066174,"new jersey"
"realiz rude gate agent today undid good employe","1",0.767231724148601,"@united do you realize that your rude gate agent today undid all the good your other employees do?",-74.0059413,40.7127837,"new york"
"stand hatr absolut worst","1",0.902780903582286,"i stand by the hatred for @united the absolute worst.",-74.0323626,40.7439905,"new jersey"
"rt well shit long fli elsewher we","1",0.669784376483778,"RT @wubanga10154: Well @Delta and @united are both shit. How long until we're all flying elsewhere?? @VirginAmerica and @JetBlue are both w<U+2026>",NA,NA,NA
"need help reserv jxwsf","1",0.910944453300096,"@united need help with reservation JXW1SF",-74.0059413,40.7127837,"new york"
"verbal commit chang ticket minut later call want addit k fail","1",0.857690987934462,"So @united verbally commits to changing our tickets for $600. 20 minutes later they call wanting an addition 2k. #fail",-74.0059413,40.7127837,"new york"
"basic economi dog class carri bag sit middl seat hope ur ceo spend etern center seat hell","1",0.941610993054422,"So Basic Economy on @united is dog class, no carry-on bags, sit in the middle seat. Here's hoping ur CEO spends eternity in center seat hell",-73.9441579,40.6781784,"new york"
"rt peopl outrag shock video show passeng forcibl drag airlin plane te","1",0.813081259128426,"RT @businessinsider: People are outraged by this shocking video showing a passenger forcibly dragged off a @United Airlines plane https://t<U+2026>",NA,NA,NA
"rt even cia hate tco wtspqi","1",0.696764076793879,"RT @araikgrigoryan: Even the CIA hates @united. https://t.co/w3T2sP8qy4",NA,NA,NA
"oscar munoz ceo airlin recent ran public letter apolog tco rwsruyl servic","1",0.731829504155239,"Oscar Munoz, the CEO of @United Airlines, recently ran a public letter of #apology https://t.co/RW2s7RuYLs #service",-73.134961,40.789142,"new york"
"custom servic realli need game call thing rep gave answer someth complet differ","1",0.997306724644873,".@united customer service really needs to up their game. Called for 1 thing, rep gave me an answer for something completely different.",-74.0059413,40.7127837,"new york"
"rt ecem young dieed tweet passeng overbook flight tco yoqztgt tco rzmqjbfmzo","1",0.537222190889246,"RT @FastCompany: <U+201C>I<U+2019>m too young to die,<U+201D> tweets passenger on overbooked @united flight https://t.co/Y6O05qztGt https://t.co/rZmQJBfmZo",NA,NA,NA
"rt june aviat speaker will oscar munoz ceo reserv seat today tco blsgfgtdzm travel e","2",0.770580369582122,"RT @TheWingsClub: June's #aviation speaker will be Oscar Munoz, CEO, @united Reserve your seat today at https://t.co/blsgFGtDzM  #travel #a<U+2026>",-74.0059413,40.7127837,"new york"
"rt poetic justic passeng flight chant lock belliger trump support get kick tco re","1",0.868031889339247,"RT @TheRoot: Poetic Justice: Passengers on @United flight chant 'Lock him up' as belligerent Trump supporter gets kicked off https://t.co/R<U+2026>",NA,NA,NA
"board group need b redistribut whole plane seem b amp empti pleas limit gold ewr","1",0.914505364234788,"Boarding groups need to b redistributed when the whole plane seems 2b in 2 &amp; 5 is empty. Please limit 2 to Gold only! @united #ewr",-74.0059413,40.7127837,"new york"
"want line one","1",0.726501405107519,"@Aricka_Shuck @united, you're wanted on line one.",-81.5157535,27.6648274,"florida"
"staystrong brother edbdedbaa","1",0.507184316499894,"@SEIULocal1 @32BJSEIU @united #staystrong brothers <ed><U+00A0><U+00BD><ed><U+00B2><U+00AA>",-74.0059413,40.7127837,"new york"
"pleas complain violent look man baton","1",0.682592115706914,"@shawn_hamman @united Please complain to the violent looking man with the baton.",-73.9441579,40.6781784,"new york"
"fed get skill work hr minimum wage ye tco cmjmar","1",0.596386706100999,"@unitehere @united Not fed up, get some skills so you don't have to work for $7.90/hr. It's a minimum wage, where y<U+2026> https://t.co/cMj5M33Ar0",-82.9000751,32.1656221,"georgia"
"still repli","1",0.844396190663216,"@united @united , you still have not replied",-74.2687291,40.3380949,"new jersey"
"wow just got chew aka scream supervisor en rout mother law funer amp kid","2",0.954948917111572,"Wow.  Just got chewed out (aka screamed at) by a @united supervisor en route to my mother in laws funeral with @broadbandito &amp; kids",-74.0059413,40.7127837,"new york"
"rt ibm airlin collabor enterpris io app transform travel experi tco nztgwhijp via e","1",0.761182058669297,"RT @IBM: IBM and @United Airlines collaborate on enterprise iOS apps to transform the #travel experience: https://t.co/nzT0GwHijp via @ZDNe<U+2026>",NA,NA,NA
"lucki","1",0.507247333917409,"@christenmmcd @united Lucky!",-74.0059413,40.7127837,"new york"
"excit convent attende board us today welcom aboard fun","2",0.901026942861643,"Excited to have some of the 2017 @United Convention attendee's on board with us today. Welcome aboard, have fun !",-75.1652215,39.9525839,"pennsylvania"
"passeng amp crew safe evacu flight ewr tower report flame come engin tco tlsxgoh","2",0.559702462414577,"124 passengers &amp; 7 crew safely evacuate @United flight at #EWR after tower reported flames coming from engine.  https://t.co/1TlSx6GO5H",-74.0059413,40.7127837,"new york"
"downward spiral liter tco nceogf","2",0.596922073302535,"@united--downward spiral. literally https://t.co/25N0CEoGf4",-73.8676864,40.8586661,"new york"
"june aviat speaker will oscar munoz ceo reserv seat today tco blsgfgtdzm travel airlin avgeek","2",0.852345731789699,"June's #aviation speaker will be Oscar Munoz, CEO, @united Reserve your seat today at https://t.co/blsgFGtDzM  #travel #airlines #avgeek",-74.0059413,40.7127837,"new york"
"rt appar fli friend sky test better focus group unit assault pay custome","1",0.818940512845714,"RT @michaelkasdan: Apparently, @United, 'Fly The Friendly Skies\" tested better in focus groups then #United, 'We Assault Our Paying Custome<U+2026>",NA,NA,NA
"just concern thank","2",0.864970746128895,"@Politicolnews @united I wasn't on it, just being concerned but thanks!",-118.2548493,34.0483215,"california"
"one fli continu take mani ls tco vvqpceoyg","1",0.77606199356882,"No one fly @united they continue to take so many Ls https://t.co/VvqPCe7oyg",-73.8648268,40.8447819,"new york"
"one fli continu take mani also tco vvqpceoyg","1",0.850726078026268,"No one fly @united they continue to take so many also https://t.co/VvqPCe7oyg",-73.8648268,40.8447819,"new york"
"continu disappoint poor plan poor execut wors custom servic frustrat strand","1",0.999693340078456,"@united continues to disappoint with poor planning, poor execution and worse customer service.  #frustrated #stranded",NA,NA,NA
"rt srsli time switch airlin away guy front reclin need surgeri flown m mie","1",0.972141485950127,"RT @djsiry: It's srsly time to switch airlines away from @united. If the guy in front of me reclines I'll need surgery. (I've flown 1.3M mi<U+2026>",NA,NA,NA
"just love hour flight delay hour give new departur time ugh annoy edbdedbnotcool","1",0.892534949139473,"Just love when your 12 hour flight is delayed over an hour, and @united cannot give you a new departure time! Ugh! #annoyed <ed><U+00A0><U+00BD><ed><U+00B8><U+0094>#notcool",NA,NA,NA
"new airlin review great custom care customerservic pleas respond now tco hodituyaz","1",0.692577985155437,"New @United Airlines #Review \"Great customer care\" #Customerservice please respond now at https://t.co/HO3DItUYAZ",-74.0059413,40.7127837,"new york"
"thank rdu crew help defyingtheodd cysticfibrosi livinglif breath","2",0.785426830814346,".@united Thank you #rdu crew for all your help! #defyingtheodds #cysticfibrosis #livinglife #breathe",-74.4056612,40.0583238,"new jersey"
"rt serious now plane catch fire tco ofwkobqzr","2",0.529328907479754,"RT @NYC_Blonde: Seriously @united now your planes are catching fire?! https://t.co/OFwKO0BqzR",NA,NA,NA
"fli lmao","1",0.646851263463441,"@PhilWhi7 Why would you fly @united lmao",-75.1652215,39.9525839,"pennsylvania"
"rt must thank crew flight ua step safe evacu everyon ene","2",0.949299845860219,"RT @3billionbases: I must thank the crew of @united flight 1579 #ua1579 for how they stepped up and safely evacuated everyone during the en<U+2026>",NA,NA,NA
"mood","1",0.550789776033601,"I'm not in the mood @united",-82.0944729,37.920415,"west virginia"
"rt even cia hate tco wtspqi","1",0.696764076793879,"RT @araikgrigoryan: Even the CIA hates @united. https://t.co/w3T2sP8qy4",NA,NA,NA
"cool bcn ewr delay near hrs gate agent say comp weather ewr news say ewr close engin fire","1",0.999085232332568,"@united not cool. BCN to EWR delayed by nearly 5hrs. Gate agent says no comp - weather in EWR. News says EWR closed = your engine fire.",-74.0059413,40.7127837,"new york"
"rt unreal six hour delay offer affect passeng joke ua tco wyme","1",0.91002000351936,"RT @SandraO_J: Unreal @united, six hours delay and you offered the affected passengers $10, this has to be a joke! #UA1066 https://t.co/WyM<U+2026>",NA,NA,NA
"rt near chang flight pm virgin luckili ticket went book woe","2",0.615714321366302,"RT @welshjaci: @Politicolnews @united I nearly changed flight to 10pm Virgin out of there! Luckily, ticket went before I could book. The wo<U+2026>",NA,NA,NA
"near chang flight pm virgin luckili ticket went booe tco derlmrtnq","2",0.650310725338261,"@Politicolnews @united I nearly changed flight to 10pm Virgin out of there! Luckily, ticket went before I could boo<U+2026> https://t.co/dERLm7rtNQ",-118.2548493,34.0483215,"california"
"rt far good one violent thrown plane nice work edbdedb oop meantedbdedbd tco nxkkksmi","2",0.895126387376211,"RT @CaseyNeistat: so far so good!  no one violently thrown off the plane. nice work @united  <ed><U+00A0><U+00BD><ed><U+00B1><U+008A> (oops, I meant<ed><U+00A0><U+00BD><ed><U+00B1><U+008D>) https://t.co/5Nx7KKKsmi",NA,NA,NA
"rt fli tomorrow morn prepar possibl delay cancellation due tonight divers like","1",0.827091072494495,"RT @AirlineFlyer: If flying @united tomorrow morning, be prepared for possible delays and cancellatione due to tonight's diversions and lik<U+2026>",-111.8929693,40.5208974,"utah"
"rt break engin fire board flt forc emerg plane evacu temporari airport closur he","1",0.991394314998896,"RT @kendisgibson: BREAKING: Engine fire on board @united flt @EWRairport forces emergency plane evacuation and temporary airport closure. h<U+2026>",NA,NA,NA
"hi roxann cbs nation news can use video platform pe tco pwjvfbpk","1",0.592470956268536,"@lo_toney @united @EWRairport Hi there, Roxanne with CBS National News. Can we use this video on all platforms in p<U+2026> https://t.co/pwJV87fbpK",-74.0059413,40.7127837,"new york"
"thank crew staff fantast ua tco rmeaswti","2",0.976630887993907,"Thanks @united!! Crew and staff were fantastic! #ua1579 https://t.co/r4ME1ASwty",-122.1430195,37.4418834,"california"
"rt fli tomorrow morn prepar possibl delay cancellation due tonight divers like","1",0.827091072494495,"RT @AirlineFlyer: If flying @united tomorrow morning, be prepared for possible delays and cancellatione due to tonight's diversions and lik<U+2026>",NA,NA,NA
"rt must thank crew flight ua step safe evacu everyon ene","2",0.949299845860219,"RT @3billionbases: I must thank the crew of @united flight 1579 #ua1579 for how they stepped up and safely evacuated everyone during the en<U+2026>",NA,NA,NA
"thank sonja chicago reserv amaz prop travelbug","2",0.989683545749463,"@united thank you Sonja at Chicago reservations! You are AMAZING!! #props #travelbug",-74.0059413,40.7127837,"new york"
"thank us ewr mean world us honor custom","2",0.815550542439153,"@lilaibrahim @united Thank you from all of us in EWR, it means a world to all of us and we are honored to have you as our customer",-87.6297982,41.8781136,"illinois"
"thank us ewr honor provid servic rest fellow tco gcatoknk","2",0.803615523036332,"@3billionbases Thank you from all of us in EWR it was an honor to provide service to you and the rest of the fellow<U+2026> https://t.co/gCat1o2KnK",-87.6297982,41.8781136,"illinois"
"rt yes alreadi onboard anoth plane goodservic","1",0.506110754380727,"RT @3billionbases: @TomPodolec @united Yes already onboard another @united plane #goodservice",NA,NA,NA
"yes alreadi onboard anoth plane goodservic","1",0.506110754380727,"@TomPodolec @united Yes already onboard another @united plane #goodservice",-74.0059413,40.7127837,"new york"
"rt must thank crew flight ua step safe evacu everyon ene","2",0.949299845860219,"RT @3billionbases: I must thank the crew of @united flight 1579 #ua1579 for how they stepped up and safely evacuated everyone during the en<U+2026>",-118.2436849,34.0522342,"california"
"rt also groundcrew lana","1",0.627196431504189,"RT @3billionbases: @TomPodolec @united Also the #groundcrew Lana :)",NA,NA,NA
"also groundcrew lana","1",0.627196431504189,"@TomPodolec @united Also the #groundcrew Lana :)",-74.0059413,40.7127837,"new york"
"rt fli tomorrow morn prepar possibl delay cancellation due tonight divers like","1",0.827091072494495,"RT @AirlineFlyer: If flying @united tomorrow morning, be prepared for possible delays and cancellatione due to tonight's diversions and lik<U+2026>",NA,NA,NA
"rt fli tomorrow morn prepar possibl delay cancellation due tonight divers like","1",0.827091072494495,"RT @AirlineFlyer: If flying @united tomorrow morning, be prepared for possible delays and cancellatione due to tonight's diversions and lik<U+2026>",-122.4194155,37.7749295,"california"
"lmao tco qjklizfka","2",0.626385648382687,"@united at it again lmao https://t.co/qj0KliZFkA",-74.0059413,40.7127837,"new york"
"wonder answer txt msg regard flight delay tco rtbtozz","1",0.744718310952969,"I wonder why @united won't answer my txt msg regarding my flight delay? https://t.co/RtBToz91Z9",-75.1652215,39.9525839,"pennsylvania"
"rt current status just evacu plane runway possibl engin fire tco lfkrfthgp","1",0.771879274328017,"RT @stewinsalot: Current status: @United just evacuated my plane on the runway for a possible engine fire. https://t.co/LFkRf8tHGp",NA,NA,NA
"hope u good tho","2",0.791598084637642,"@lo_toney @united @EWRairport Hope u good tho? @lo_toney",-74.4056612,40.0583238,"new jersey"
"hey guy prop crew flight tonight amaz handl situat realli appreci","2",0.971769128223639,"@united hey guys. Props to your crew on flight #1579 tonight. They were amazing in how they handled the situation. Really appreciate it.",-121.4252227,37.7396513,"california"
"thing get better eefbf ecnewark airport reopen unit airlin engin fire incid tco scyhbgxwmw","2",0.608174313322916,"Things not getting any better for @united...<U+26A1><U+FE0F> <U+201C>Newark airport reopened after United Airlines engine fire incident<U+201D>

https://t.co/scYHBGxWMW",-74.0059413,40.7127837,"new york"
"fire","1",0.58584177190901,"@bradley_c14 @united There was a fire...",-74.0143064,40.7878788,"new jersey"
"plane fire newark spot take eagleey person tower evacu se tco dsnzbbxx","2",0.975546564559585,"@Politicolnews @united Plane on fire at Newark - spotted on take-off by eagle-eyed person in tower. All evacuated s<U+2026> https://t.co/dsnZB32BXx",-118.2548493,34.0483215,"california"
"wonder mani passang took carri bag evacu ewrsfo slide chute newark","2",0.570263879747667,"Wondering how many passangers took their carry on bags with them as they evacuated @united EWR-SFO #1579 down slide chutes at #Newark",-74.0059413,40.7127837,"new york"
"rt break taxi ua ewr sfo tower notifi crew appear flame e","1",0.873740314365163,"RT @RayVilleda: #BREAKING from @united: During taxiing of #UA1579 from EWR to SFO, tower notified crew of what appeared to be flames from 1<U+2026>",-74.0059413,40.7127837,"new york"
"rt fli tomorrow morn prepar possibl delay cancellation due tonight divers like","1",0.827091072494495,"RT @AirlineFlyer: If flying @united tomorrow morning, be prepared for possible delays and cancellatione due to tonight's diversions and lik<U+2026>",-122.3320708,47.6062095,"washington"
"good time glad everyon safe","2",0.952583246036497,"Not a good time for @united Glad everyone is safe.",-118.2548493,34.0483215,"california"
"rt look fight tow gate termin c fire truck behind tco tfxwwwef","1",0.806773491706483,"RT @RayVilleda: LOOK: a @united fight being towed to gate at terminal C, fire trucks behind it. @NBCNewYork https://t.co/TFXw9wwef5",NA,NA,NA
"will flight ua leav ewr edi","1",0.759987726198779,"@united when will flight UA108 leave EWR to EDI?",-73.9958677,40.72441,"new york"
"must thank crew flight ua step safe evacu everyon te tco rxmamemtz","2",0.962154732461962,"I must thank the crew of @united flight 1579 #ua1579 for how they stepped up and safely evacuated everyone during t<U+2026> https://t.co/rxMAMEm1TZ",-74.0059413,40.7127837,"new york"
"rt look fight tow gate termin c fire truck behind tco tfxwwwef","1",0.806773491706483,"RT @RayVilleda: LOOK: a @united fight being towed to gate at terminal C, fire trucks behind it. @NBCNewYork https://t.co/TFXw9wwef5",-118.3286614,34.0928092,"california"
"serious now plane catch fire tco ofwkobqzr","2",0.529328907479754,"Seriously @united now your planes are catching fire?! https://t.co/OFwKO0BqzR",-74.0059413,40.7127837,"new york"
"sure","2",0.583880500356539,"@JonathanMNews @united @CNN @PIX11News Sure",-75.1652215,39.9525839,"pennsylvania"
"rt look emerg respond around aircraft termin c tco fyoxnblzcc","1",0.858630066982818,"RT @RayVilleda: LOOK: emergency responders around @united aircraft in Terminal C @NBCNewYork https://t.co/fyoXnbLzcC",-74.0059413,40.7127837,"new york"
